shard,tp_size,heads_local,batch,backend,layer_idx,latency_us,tokens_s
tp8,8,12,1,trt_fused,1,42.67903804779053,23430.70616728133
tp8,8,12,1,b10_fused,1,36.71295881271362,27238.338514238792
tp8,8,12,8,trt_fused,1,45.12576103210449,177282.32869709257
tp8,8,12,8,b10_fused,1,38.991360664367676,205173.6554890431
