impl,latency_us,batch,batch_panel,pnat,draft,heads,tokens_s,note
WY chunk (Triton chain),16.748160123825073,4,B=4,4,4,12,955328.8171181992,THREE launches: conv + WY chunk replay/verify + norm
recurrent loop (b10 fused),7.835519909858704,4,B=4,8,4,12,2041983.1975500046,ONE fused CuTeDSL kernel: conv + sequential replay/verify loop + norm
WY chunk (CuTeDSL fused),7.8937602043151855,4,B=4,8,4,12,2026917.4114579102,ONE generated CuTeDSL kernel: conv + WY chunk replay/verify + norm
WY chunk (Triton chain),16.648319959640503,4,B=4,8,4,12,961057.934902009,THREE launches: conv + WY chunk replay/verify + norm
recurrent loop (b10 fused),8.443520069122314,4,B=4,12,4,12,1894944.273125079,ONE fused CuTeDSL kernel: conv + sequential replay/verify loop + norm
WY chunk (CuTeDSL fused),7.8252798318862915,4,B=4,12,4,12,2044655.31504746,ONE generated CuTeDSL kernel: conv + WY chunk replay/verify + norm
WY chunk (Triton chain),16.721919775009155,4,B=4,12,4,12,956827.9369401077,THREE launches: conv + WY chunk replay/verify + norm
recurrent loop (b10 fused),6.366720199584961,8,B=8,0,4,12,5026135.749154807,ONE fused CuTeDSL kernel: conv + sequential replay/verify loop + norm
WY chunk (CuTeDSL fused),7.382400035858154,8,B=8,0,4,12,4334633.702395974,ONE generated CuTeDSL kernel: conv + WY chunk replay/verify + norm
WY chunk (Triton chain),17.16096043586731,8,B=8,0,4,12,1864697.498697003,THREE launches: conv + WY chunk replay/verify + norm
recurrent loop (b10 fused),6.938239932060242,8,B=8,1,4,12,4612120.698238511,ONE fused CuTeDSL kernel: conv + sequential replay/verify loop + norm
WY chunk (CuTeDSL fused),7.619839906692505,8,B=8,1,4,12,4199563.296847536,ONE generated CuTeDSL kernel: conv + WY chunk replay/verify + norm
WY chunk (Triton chain),17.11743950843811,8,B=8,1,4,12,1869438.4743831267,THREE launches: conv + WY chunk replay/verify + norm
recurrent loop (b10 fused),7.036799788475037,8,B=8,2,4,12,4547521.737425302,ONE fused CuTeDSL kernel: conv + sequential replay/verify loop + norm
WY chunk (CuTeDSL fused),7.609599828720093,8,B=8,2,4,12,4205214.560590407,ONE generated CuTeDSL kernel: conv + WY chunk replay/verify + norm
WY chunk (Triton chain),17.25376009941101,8,B=8,2,4,12,1854668.189173001,THREE launches: conv + WY chunk replay/verify + norm
recurrent loop (b10 fused),7.228800058364868,8,B=8,4,4,12,4426737.4587253835,ONE fused CuTeDSL kernel: conv + sequential replay/verify loop + norm
WY chunk (CuTeDSL fused),7.698559761047363,8,B=8,4,4,12,4156621.6270621647,ONE generated CuTeDSL kernel: conv + WY chunk replay/verify + norm
WY chunk (Triton chain),17.303680181503296,8,B=8,4,4,12,1849317.5824069078,THREE launches: conv + WY chunk replay/verify + norm
recurrent loop (b10 fused),7.884160280227661,8,B=8,8,4,12,4058770.859878558,ONE fused CuTeDSL kernel: conv + sequential replay/verify loop + norm
WY chunk (CuTeDSL fused),7.965440154075623,8,B=8,8,4,12,4017354.895777703,ONE generated CuTeDSL kernel: conv + WY chunk replay/verify + norm
WY chunk (Triton chain),17.281919717788696,8,B=8,8,4,12,1851646.143631927,THREE launches: conv + WY chunk replay/verify + norm
recurrent loop (b10 fused),8.521599769592285,8,B=8,12,4,12,3755163.451138123,ONE fused CuTeDSL kernel: conv + sequential replay/verify loop + norm
WY chunk (CuTeDSL fused),7.9948800802230835,8,B=8,12,4,12,4002561.599286314,ONE generated CuTeDSL kernel: conv + WY chunk replay/verify + norm
WY chunk (Triton chain),17.20639944076538,8,B=8,12,4,12,1859773.168126368,THREE launches: conv + WY chunk replay/verify + norm
