impl,latency_us,batch,batch_panel,pnat,draft,heads,tokens_s,note
recurrent loop (b10 fused),6.156160235404968,1,B=1,0,4,12,649755.6670138995,ONE fused CuTeDSL kernel: conv + sequential replay/verify loop + norm
WY chunk (CuTeDSL fused),7.155839800834656,1,B=1,0,4,12,558984.0062564622,ONE generated CuTeDSL kernel: conv + WY chunk replay/verify + norm
WY chunk (Triton chain),16.255359649658203,1,B=1,0,4,12,246072.68533022626,THREE launches: conv + WY chunk replay/verify + norm
recurrent loop (b10 fused),6.80512011051178,1,B=1,1,4,12,587792.7112294832,ONE fused CuTeDSL kernel: conv + sequential replay/verify loop + norm
WY chunk (CuTeDSL fused),7.414399981498718,1,B=1,1,4,12,539490.7221058036,ONE generated CuTeDSL kernel: conv + WY chunk replay/verify + norm
WY chunk (Triton chain),16.323200464248657,1,B=1,1,4,12,245049.98322852593,THREE launches: conv + WY chunk replay/verify + norm
recurrent loop (b10 fused),6.887680292129517,1,B=1,2,4,12,580747.0484033297,ONE fused CuTeDSL kernel: conv + sequential replay/verify loop + norm
WY chunk (CuTeDSL fused),7.461119890213013,1,B=1,2,4,12,536112.5486332054,ONE generated CuTeDSL kernel: conv + WY chunk replay/verify + norm
WY chunk (Triton chain),16.43455982208252,1,B=1,2,4,12,243389.54272601483,THREE launches: conv + WY chunk replay/verify + norm
recurrent loop (b10 fused),7.05344021320343,1,B=1,4,4,12,567099.1571619684,ONE fused CuTeDSL kernel: conv + sequential replay/verify loop + norm
WY chunk (CuTeDSL fused),7.528319954872131,1,B=1,4,4,12,531327.0456061455,ONE generated CuTeDSL kernel: conv + WY chunk replay/verify + norm
WY chunk (Triton chain),16.44544005393982,1,B=1,4,4,12,243228.51725951376,THREE launches: conv + WY chunk replay/verify + norm
recurrent loop (b10 fused),7.685760259628296,1,B=1,8,4,12,520442.9835017324,ONE fused CuTeDSL kernel: conv + sequential replay/verify loop + norm
WY chunk (CuTeDSL fused),7.741439938545227,1,B=1,8,4,12,516699.73955151305,ONE generated CuTeDSL kernel: conv + WY chunk replay/verify + norm
WY chunk (Triton chain),16.480000019073486,1,B=1,8,4,12,242718.44632102628,THREE launches: conv + WY chunk replay/verify + norm
recurrent loop (b10 fused),8.362879753112793,1,B=1,12,4,12,478304.1390151686,ONE fused CuTeDSL kernel: conv + sequential replay/verify loop + norm
WY chunk (CuTeDSL fused),7.777919769287109,1,B=1,12,4,12,514276.32563078275,ONE generated CuTeDSL kernel: conv + WY chunk replay/verify + norm
WY chunk (Triton chain),16.513279676437378,1,B=1,12,4,12,242229.28929784658,THREE launches: conv + WY chunk replay/verify + norm
recurrent loop (b10 fused),6.289920210838318,4,B=4,0,4,12,2543752.458485881,ONE fused CuTeDSL kernel: conv + sequential replay/verify loop + norm
WY chunk (CuTeDSL fused),7.247359752655029,4,B=4,0,4,12,2207700.534548253,ONE generated CuTeDSL kernel: conv + WY chunk replay/verify + norm
WY chunk (Triton chain),16.567039489746094,4,B=4,0,4,12,965773.0344581448,THREE launches: conv + WY chunk replay/verify + norm
recurrent loop (b10 fused),6.855040192604065,4,B=4,1,4,12,2334049.0428141435,ONE fused CuTeDSL kernel: conv + sequential replay/verify loop + norm
WY chunk (CuTeDSL fused),7.476480007171631,4,B=4,1,4,12,2140044.5108730835,ONE generated CuTeDSL kernel: conv + WY chunk replay/verify + norm
WY chunk (Triton chain),16.684800386428833,4,B=4,1,4,12,958956.6329492417,THREE launches: conv + WY chunk replay/verify + norm
recurrent loop (b10 fused),6.971520185470581,4,B=4,2,4,12,2295051.807114576,ONE fused CuTeDSL kernel: conv + sequential replay/verify loop + norm
WY chunk (CuTeDSL fused),7.500159740447998,4,B=4,2,4,12,2133287.897018083,ONE generated CuTeDSL kernel: conv + WY chunk replay/verify + norm
WY chunk (Triton chain),16.562559604644775,4,B=4,2,4,12,966034.259312974,THREE launches: conv + WY chunk replay/verify + norm
recurrent loop (b10 fused),7.172480225563049,4,B=4,4,4,12,2230748.5690898476,ONE fused CuTeDSL kernel: conv + sequential replay/verify loop + norm
WY chunk (CuTeDSL fused),7.550719976425171,4,B=4,4,4,12,2119003.2275008396,ONE generated CuTeDSL kernel: conv + WY chunk replay/verify + norm
