impl,latency_us,batch,batch_panel,pnat,draft,heads,tokens_s,note
WY chunk (Triton chain),34.330880641937256,8,B=8,0,4,96,932105.4223383381,THREE launches: conv + WY chunk replay/verify + norm
recurrent loop (b10 fused),25.52704095840454,8,B=8,1,4,96,1253572.6350791277,ONE fused CuTeDSL kernel: conv + sequential replay/verify loop + norm
WY chunk (CuTeDSL fused),17.342079877853394,8,B=8,1,4,96,1845222.7313786866,ONE generated CuTeDSL kernel: conv + WY chunk replay/verify + norm
WY chunk (Triton chain),36.07743978500366,8,B=8,1,4,96,886980.8997173205,THREE launches: conv + WY chunk replay/verify + norm
recurrent loop (b10 fused),25.774080753326416,8,B=8,2,4,96,1241557.3733263044,ONE fused CuTeDSL kernel: conv + sequential replay/verify loop + norm
WY chunk (CuTeDSL fused),17.340799570083618,8,B=8,2,4,96,1845358.9680608767,ONE generated CuTeDSL kernel: conv + WY chunk replay/verify + norm
WY chunk (Triton chain),36.13759994506836,8,B=8,2,4,96,885504.2960418568,THREE launches: conv + WY chunk replay/verify + norm
recurrent loop (b10 fused),26.722559928894043,8,B=8,4,4,96,1197490.064018892,ONE fused CuTeDSL kernel: conv + sequential replay/verify loop + norm
WY chunk (CuTeDSL fused),16.814719438552856,8,B=8,4,4,96,1903094.4950904308,ONE generated CuTeDSL kernel: conv + WY chunk replay/verify + norm
WY chunk (Triton chain),36.774399280548096,8,B=8,4,4,96,870170.5704524309,THREE launches: conv + WY chunk replay/verify + norm
recurrent loop (b10 fused),29.532160758972168,8,B=8,8,4,96,1083564.4659112212,ONE fused CuTeDSL kernel: conv + sequential replay/verify loop + norm
WY chunk (CuTeDSL fused),16.76159977912903,8,B=8,8,4,96,1909125.645622759,ONE generated CuTeDSL kernel: conv + WY chunk replay/verify + norm
WY chunk (Triton chain),36.51520013809204,8,B=8,8,4,96,876347.3807889153,THREE launches: conv + WY chunk replay/verify + norm
recurrent loop (b10 fused),32.96639919281006,8,B=8,12,4,96,970685.3275919552,ONE fused CuTeDSL kernel: conv + sequential replay/verify loop + norm
WY chunk (CuTeDSL fused),17.089920043945312,8,B=8,12,4,96,1872448.783710787,ONE generated CuTeDSL kernel: conv + WY chunk replay/verify + norm
WY chunk (Triton chain),37.59552001953125,8,B=8,12,4,96,851165.2447785182,THREE launches: conv + WY chunk replay/verify + norm
