impl,group,tokens,msg_kb,latency_us,speedup_vs_nccl
nccl,ar,1,14.0,22.07200050354004,1.0
trt_oneshot,ar,1,14.0,4.2051199078559875,5.248839744689615
fi_oneshot,ar,1,14.0,4.056319892406464,5.441385563515195
nccl+norm,ar_norm,1,14.0,18.865280151367188,1.0
trt_oneshot+norm,ar_norm,1,14.0,6.896640062332153,2.735430583713505
trt_oneshot_fused,ar_norm,1,14.0,5.531839728355408,3.4103085190025477
trt_minlat_fused,ar_norm,1,14.0,5.51904022693634,3.4182175479158343
fi_oneshot_fused,ar_norm,1,14.0,5.670400261878967,3.326975042343115
nccl,ar,4,56.0,23.960320949554443,1.0
trt_oneshot,ar,4,56.0,4.3353599309921265,5.52672011803902
trt_twoshot,ar,4,56.0,258.00832748413086,0.0928664635874133
fi_oneshot,ar,4,56.0,4.134399890899658,5.795356419753727
nccl+norm,ar_norm,4,56.0,20.53823947906494,1.0
trt_oneshot+norm,ar_norm,4,56.0,6.9228798151016235,2.9667190573296778
trt_oneshot_fused,ar_norm,4,56.0,5.623040199279785,3.6525151432663665
trt_minlat_fused,ar_norm,4,56.0,5.61568021774292,3.6573021758207886
trt_twoshot_fused,ar_norm,4,56.0,263.78944396972656,0.07785845851141028
fi_oneshot_fused,ar_norm,4,56.0,5.834239721298218,3.520294067466743
nccl,ar,8,112.0,24.132800102233887,1.0
trt_oneshot,ar,8,112.0,4.34688001871109,5.551752060869993
trt_twoshot,ar,8,112.0,224.37824249267578,0.10755410076367648
fi_oneshot,ar,8,112.0,4.209280014038086,5.733237043330501
fi_twoshot,ar,8,112.0,224.75135803222656,0.1073755474206013
nccl+norm,ar_norm,8,112.0,20.54271936416626,1.0
trt_oneshot+norm,ar_norm,8,112.0,6.923519968986511,2.967091805351343
trt_oneshot_fused,ar_norm,8,112.0,5.6646400690078735,3.6264827268653255
trt_minlat_fused,ar_norm,8,112.0,5.666559934616089,3.625254052052665
trt_twoshot_fused,ar_norm,8,112.0,230.2947235107422,0.0892018672898862
fi_oneshot_fused,ar_norm,8,112.0,5.99839985370636,3.424699897502346
fi_twoshot_fused,ar_norm,8,112.0,230.56768417358398,0.08909626445612637
nccl,ar,16,224.0,24.552319049835205,1.0
trt_oneshot,ar,16,224.0,4.679679870605469,5.246580904829835
trt_twoshot,ar,16,224.0,118.61791610717773,0.20698659912091905
fi_oneshot,ar,16,224.0,4.518080055713654,5.434237274920761
fi_twoshot,ar,16,224.0,118.57088088989258,0.20706870747325395
nccl+norm,ar_norm,16,224.0,21.113600730895996,1.0
trt_oneshot+norm,ar_norm,16,224.0,7.2707200050354,2.903921580843931
trt_oneshot_fused,ar_norm,16,224.0,6.04640007019043,3.491929162112329
trt_minlat_fused,ar_norm,16,224.0,6.058880090713501,3.484736521400547
trt_twoshot_fused,ar_norm,16,224.0,124.84352111816406,0.16912051616128343
fi_oneshot_fused,ar_norm,16,224.0,6.3264000415802,3.3373799620838183
fi_twoshot_fused,ar_norm,16,224.0,124.15871620178223,0.17005331060754736
nccl,ar,32,448.0,24.87584114074707,1.0
trt_oneshot,ar,32,448.0,5.676479935646057,4.382265316316295
trt_twoshot,ar,32,448.0,63.787522315979004,0.38997973643687966
fi_oneshot,ar,32,448.0,5.448639988899231,4.5655138147184955
fi_twoshot,ar,32,448.0,63.49984169006348,0.3917465064269549
nccl+norm,ar_norm,32,448.0,21.410880088806152,1.0
trt_oneshot+norm,ar_norm,32,448.0,8.36031973361969,2.56101211090118
trt_oneshot_fused,ar_norm,32,448.0,7.16543972492218,2.988076225711142
trt_minlat_fused,ar_norm,32,448.0,7.155519723892212,2.9922187227456627
trt_twoshot_fused,ar_norm,32,448.0,69.4598388671875,0.3082483408829293
fi_oneshot_fused,ar_norm,32,448.0,7.494080066680908,2.857039142669439
fi_twoshot_fused,ar_norm,32,448.0,69.25568103790283,0.3091570217479809
