impl,group,tokens,msg_kb,latency_us,speedup_vs_nccl
nccl,ar,1,14.0,33.85792016983032,1.0
trt_oneshot,ar,1,14.0,4.8790401220321655,6.939463362258268
fi_oneshot,ar,1,14.0,5.135359764099121,6.593096048796477
nccl+norm,ar_norm,1,14.0,30.356159210205078,1.0
trt_oneshot+norm,ar_norm,1,14.0,7.368000149726868,4.119999809083932
trt_oneshot_fused,ar_norm,1,14.0,6.313599944114685,4.808058711179827
trt_minlat_fused,ar_norm,1,14.0,6.3174402713775635,4.80513592629277
fi_oneshot_fused,ar_norm,1,14.0,6.368319988250732,4.766745274453991
nccl,ar,4,56.0,36.40671968460083,1.0
trt_oneshot,ar,4,56.0,4.972800016403198,7.321171083596808
fi_oneshot,ar,4,56.0,5.329599976539612,6.831041700101268
nccl+norm,ar_norm,4,56.0,32.82847881317139,1.0
trt_oneshot+norm,ar_norm,4,56.0,7.537919878959656,4.355111136801072
trt_oneshot_fused,ar_norm,4,56.0,6.3571202754974365,5.164048718679088
trt_minlat_fused,ar_norm,4,56.0,6.351040005683899,5.168992603383281
fi_oneshot_fused,ar_norm,4,56.0,6.4345598220825195,5.101899698019527
nccl,ar,8,112.0,36.63167953491211,1.0
trt_oneshot,ar,8,112.0,5.105599761009216,7.174804381389892
trt_twoshot,ar,8,112.0,279.98559951782227,0.13083415574942936
fi_oneshot,ar,8,112.0,5.645120143890381,6.489087672395771
nccl+norm,ar_norm,8,112.0,32.928640842437744,1.0
trt_oneshot+norm,ar_norm,8,112.0,7.661759853363037,4.297790778183176
trt_oneshot_fused,ar_norm,8,112.0,6.589440107345581,4.997183418623159
trt_minlat_fused,ar_norm,8,112.0,6.58623993396759,4.999611488888067
trt_twoshot_fused,ar_norm,8,112.0,288.26303482055664,0.11423122934557245
fi_oneshot_fused,ar_norm,8,112.0,6.922240257263184,4.756934116507623
nccl,ar,16,224.0,36.263039112091064,1.0
trt_oneshot,ar,16,224.0,6.189119815826416,5.859159329790574
trt_twoshot,ar,16,224.0,242.70208358764648,0.14941379396520701
fi_oneshot,ar,16,224.0,6.735680103302002,5.383723477947535
fi_twoshot,ar,16,224.0,242.06720352172852,0.14980566794888434
nccl+norm,ar_norm,16,224.0,32.67008066177368,1.0
trt_oneshot+norm,ar_norm,16,224.0,8.807680010795593,3.7092719787424033
trt_oneshot_fused,ar_norm,16,224.0,7.740799784660339,4.220504543537579
trt_minlat_fused,ar_norm,16,224.0,7.735999822616577,4.223123243392675
trt_twoshot_fused,ar_norm,16,224.0,251.6556739807129,0.12982056055003768
fi_oneshot_fused,ar_norm,16,224.0,8.056960105895996,4.054889217816291
fi_twoshot_fused,ar_norm,16,224.0,253.79327774047852,0.128727131595586
nccl,ar,32,448.0,36.92064046859741,1.0
trt_oneshot,ar,32,448.0,8.712959885597229,4.237439510037029
trt_twoshot,ar,32,448.0,128.51903915405273,0.2872775949121555
fi_oneshot,ar,32,448.0,9.333760142326355,3.9556020195088575
fi_twoshot,ar,32,448.0,129.21055793762207,0.2857401210698377
nccl+norm,ar_norm,32,448.0,33.37023973464966,1.0
trt_oneshot+norm,ar_norm,32,448.0,11.428159475326538,2.920001230880283
trt_oneshot_fused,ar_norm,32,448.0,10.415680408477783,3.2038463572181173
trt_minlat_fused,ar_norm,32,448.0,10.445760488510132,3.1946204176666146
trt_twoshot_fused,ar_norm,32,448.0,137.83488273620605,0.24210300812251545
fi_oneshot_fused,ar_norm,32,448.0,10.871679782867432,3.069464921808815
fi_twoshot_fused,ar_norm,32,448.0,139.23392295837402,0.23967032620797568
