impl,group,tokens,msg_kb,latency_us,speedup_vs_nccl
nccl,ar,1,14.0,16.05247974395752,1.0
trt_oneshot,ar,1,14.0,3.32832008600235,4.822997587121549
fi_oneshot,ar,1,14.0,3.5363200306892395,4.53931759700743
nccl+norm,ar_norm,1,14.0,13.026880025863647,1.0
trt_oneshot+norm,ar_norm,1,14.0,5.93824028968811,2.193727331729085
trt_oneshot_fused,ar_norm,1,14.0,4.669120013713837,2.7900075362385075
trt_minlat_fused,ar_norm,1,14.0,4.747200012207031,2.7441186367471575
fi_oneshot_fused,ar_norm,1,14.0,4.971199929714203,2.6204699489148426
nccl,ar,4,56.0,17.60480046272278,1.0
trt_oneshot,ar,4,56.0,3.8124799728393555,4.6176768371616
trt_twoshot,ar,4,56.0,114.03936386108398,0.15437476908559317
fi_oneshot,ar,4,56.0,3.479360044002533,5.059781178170581
fi_twoshot,ar,4,56.0,118.95744323730469,0.14799242471615234
nccl+norm,ar_norm,4,56.0,14.408960342407227,1.0
trt_oneshot+norm,ar_norm,4,56.0,6.411200165748596,2.2474669281714403
trt_oneshot_fused,ar_norm,4,56.0,5.353279709815979,2.691613575876935
trt_minlat_fused,ar_norm,4,56.0,5.3276801109313965,2.7045468275850033
trt_twoshot_fused,ar_norm,4,56.0,115.42911529541016,0.12482951381487523
fi_oneshot_fused,ar_norm,4,56.0,5.031999945640564,2.863465917739193
fi_twoshot_fused,ar_norm,4,56.0,129.14015769958496,0.11157614021136925
nccl,ar,8,112.0,18.421119451522827,1.0
trt_oneshot,ar,8,112.0,3.872320055961609,4.757127299734095
trt_twoshot,ar,8,112.0,111.81376457214355,0.164748226857502
fi_oneshot,ar,8,112.0,3.6239999532699585,5.083090421924904
fi_twoshot,ar,8,112.0,113.81312370300293,0.16185408898531786
nccl+norm,ar_norm,8,112.0,15.316159725189209,1.0
trt_oneshot+norm,ar_norm,8,112.0,6.402559876441956,2.392193125993964
trt_oneshot_fused,ar_norm,8,112.0,5.418879985809326,2.8264437974818324
trt_minlat_fused,ar_norm,8,112.0,5.406720042228699,2.8328005899258195
trt_twoshot_fused,ar_norm,8,112.0,114.78207588195801,0.13343685943561748
fi_oneshot_fused,ar_norm,8,112.0,5.075200200080872,3.0178434586570893
fi_twoshot_fused,ar_norm,8,112.0,116.68767929077148,0.13125772847896996
nccl,ar,16,224.0,17.885760068893433,1.0
trt_oneshot,ar,16,224.0,3.909440040588379,4.57501838708379
trt_twoshot,ar,16,224.0,58.498239517211914,0.30574868947348255
fi_oneshot,ar,16,224.0,3.670080006122589,4.873397865729254
fi_twoshot,ar,16,224.0,60.58847904205322,0.2952006776152821
nccl+norm,ar_norm,16,224.0,15.644479990005493,1.0
trt_oneshot+norm,ar_norm,16,224.0,6.47104024887085,2.4176143847560434
trt_oneshot_fused,ar_norm,16,224.0,5.466880202293396,2.8616833387793132
trt_minlat_fused,ar_norm,16,224.0,5.463680028915405,2.8633594769844306
trt_twoshot_fused,ar_norm,16,224.0,61.93888187408447,0.2525793090971379
fi_oneshot_fused,ar_norm,16,224.0,5.204799771308899,3.005779410813191
fi_twoshot_fused,ar_norm,16,224.0,63.52704048156738,0.24626489556907344
nccl,ar,32,448.0,19.506560564041138,1.0
trt_oneshot,ar,32,448.0,4.128960072994232,4.724327728820929
trt_twoshot,ar,32,448.0,32.23360061645508,0.6051623210248235
fi_oneshot,ar,32,448.0,4.020799994468689,4.851412801152957
fi_twoshot,ar,32,448.0,33.8592004776001,0.576108126857452
nccl+norm,ar_norm,32,448.0,16.452159881591797,1.0
trt_oneshot+norm,ar_norm,32,448.0,6.735360026359558,2.442654856934818
trt_oneshot_fused,ar_norm,32,448.0,5.699840188026428,2.8864247661105678
trt_minlat_fused,ar_norm,32,448.0,5.675839781761169,2.8986300731143646
trt_twoshot_fused,ar_norm,32,448.0,35.665600299835205,0.4612893023888852
fi_oneshot_fused,ar_norm,32,448.0,5.816959738731384,2.8283090515561717
fi_twoshot_fused,ar_norm,32,448.0,36.696319580078125,0.44833269575413837
