tokens,step,latency_us,step_saved_us,cumulative_pct,rel_error,tie_excluded_error,tie_rows
512,baseline,213.44,0.0,0.0,0.0,0.0,0
512,precomputed_route+packed_AR,218.13,-4.68,-2.2,0.0035714285913854837,0.0035714285913854837,247
512,+overlap_shared_branch,212.14,5.99,0.6,0.0035714285913854837,0.0035714285913854837,247
512,+radix_routing,199.84,12.29,6.4,0.0035714285913854837,0.0035714285913854837,247
512,+fc2_shard_tail,177.95,21.89,16.6,0.0071428571827709675,0.0071428571827709675,247
1024,baseline,337.87,0.0,0.0,0.0,0.0,0
1024,precomputed_route+packed_AR,348.65,-10.78,-3.2,0.17142857611179352,0.0035714285913854837,473
1024,+overlap_shared_branch,339.02,9.62,-0.3,0.17142857611179352,0.0035714285913854837,473
1024,+radix_routing,328.69,10.34,2.7,0.17142857611179352,0.0035714285913854837,473
1024,+fc2_shard_tail,262.45,66.24,22.3,0.17321428656578064,0.0071428571827709675,473
2048,baseline,512.36,0.0,0.0,0.0,0.0,0
2048,precomputed_route+packed_AR,522.66,-10.3,-2.0,0.0034246575087308884,0.0034246575087308884,1038
2048,+overlap_shared_branch,515.78,6.89,-0.7,0.0034246575087308884,0.0034246575087308884,1038
2048,+radix_routing,498.55,17.23,2.7,0.0034246575087308884,0.0034246575087308884,1038
2048,+fc2_shard_tail,418.66,79.89,18.3,0.006849315017461777,0.006849315017461777,1038
2048,+fc1_shard(dma_AG),405.28,13.38,20.9,0.006849315017461777,0.006849315017461777,1038
