tokens,step,latency_us,step_delta_us,cumulative_pct,rel_error,tie_rows
1,baseline,75.18,0.0,0.0,0.0,0
1,precomputed_route+packed_AR,74.73,0.45,0.6,0.0,0
1,+fc1_shard(col_AG+quant),72.62,2.11,3.4,0.004807692486792803,0
1,+fused_front(dual_out),62.24,10.39,17.2,0.004807692486792803,0
1,+radix_routing,56.04,6.19,25.4,0.004807692486792803,0
1,+route_side_stream,54.41,1.64,27.6,0.004807692486792803,0
1,+measured_tail,44.64,9.77,40.6,0.009615384973585606,0
8,baseline,81.28,0.0,0.0,0.0,0
8,precomputed_route+packed_AR,80.79,0.5,0.6,0.0,4
8,+fc1_shard(col_AG+quant),76.02,4.77,6.5,0.003937007859349251,4
8,+fused_front(dual_out),71.84,4.19,11.6,0.005905511789023876,4
8,+radix_routing,63.66,8.18,21.7,0.005905511789023876,4
8,+route_side_stream,59.86,3.8,26.4,0.005905511789023876,4
8,+measured_tail,50.39,9.47,38.0,0.007874015718698502,4
